,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cape Town,42,ZA,1629846220,88,-33.9258,18.4232,57.88,1.99
1,Ushuaia,94,AR,1629846033,85,-54.8,-68.3,31.73,4.05
2,Kaitangata,22,NZ,1629846351,65,-46.2817,169.8464,56.55,6.31
3,Tura,100,IN,1629846636,98,25.5198,90.2201,73.81,6.13
4,Half Moon Bay,20,US,1629846443,70,37.4636,-122.4286,85.91,1.99
5,Torbay,90,CA,1629846023,92,47.6666,-52.7314,69.76,16.11
6,Qaanaaq,100,GL,1629846278,57,77.484,-69.3632,45.19,6.78
7,Jamestown,2,US,1629846026,83,42.097,-79.2353,81.84,2.62
8,Saint-Philippe,40,RE,1629846345,79,-21.3585,55.7679,65.75,10.31
9,College,90,US,1629846362,92,64.8569,-147.8028,60.75,4.61
10,Rikitea,37,PF,1629846283,67,-23.1203,-134.9692,71.04,9.55
11,Kudymkar,100,RU,1629846444,99,59.0173,54.656,56.41,3.89
12,Chui,100,UY,1629846314,84,-33.6971,-53.4616,52.16,8.05
13,Albany,0,US,1629846444,69,42.6001,-73.9662,82.35,1.99
14,Hermanus,57,ZA,1629846276,83,-34.4187,19.2345,55.9,7.72
15,Black River,17,JM,1629846445,72,18.0264,-77.8487,87.98,1.9
16,Saint Paul Harbor,95,US,1629846297,88,57.79,-152.4072,52.83,7.07
17,Ancud,100,CL,1629846337,86,-41.8697,-73.8203,42.42,16.53
18,The Pas,100,CA,1629846446,95,53.8251,-101.2541,50.25,6.76
19,Tadine,31,NC,1629846308,73,-21.55,167.8833,72.01,17.43
20,Bairiki Village,20,KI,1629846446,62,1.3292,172.9752,87.8,11.5
21,Kapaa,90,US,1629846312,68,22.0752,-159.319,85.98,4.0
22,Cap Malheureux,96,MU,1629846447,73,-19.9842,57.6142,67.46,3.0
23,Punta Arenas,75,CL,1629846287,75,-53.15,-70.9167,33.91,2.3
24,Morón,91,AR,1629846349,67,-34.6534,-58.6198,56.01,1.01
25,Tasiilaq,100,GL,1629846192,96,65.6145,-37.6368,46.56,12.03
26,Mahébourg,90,MU,1629846639,69,-20.4081,57.7,67.24,16.71
27,Port Blair,100,IN,1629846448,81,11.6667,92.75,81.0,14.23
28,Castro,4,BR,1629846083,51,-24.7911,-50.0119,66.0,3.96
29,Pevek,100,RU,1629846347,62,69.7008,170.3133,40.64,21.39
30,Manado,40,ID,1629846449,100,1.487,124.8455,74.17,1.14
31,São Filipe,58,CV,1629846301,80,14.8961,-24.4956,79.65,7.54
32,Busselton,3,AU,1629846286,61,-33.65,115.3333,48.09,10.58
33,Tazovsky,53,RU,1629846449,73,67.4667,78.7,44.33,24.92
34,Atuona,22,PF,1629846303,73,-9.8,-139.0333,77.68,15.1
35,Provideniya,40,RU,1629846289,61,64.3833,-173.3,46.51,8.95
36,Puerto Ayora,99,EC,1629846277,90,-0.7393,-90.3518,70.56,11.01
37,Qui Nhon,99,VN,1629846450,82,13.7667,109.2333,77.5,4.41
38,Hobart,75,AU,1629846020,68,-42.8794,147.3294,47.26,1.01
39,Saint Anthony,1,US,1629846451,60,45.0205,-93.218,85.95,1.99
40,Columbus,20,US,1629846325,60,39.9612,-82.9988,91.22,9.22
41,Kumbo,100,CM,1629846451,95,6.2,10.6667,60.06,2.21
42,Tuktoyaktuk,100,CA,1629846197,84,69.4541,-133.0374,40.78,17.22
43,Sapa,100,PH,1629846452,79,5.1544,120.3241,80.28,1.83
44,Tegul'det,5,RU,1629846452,94,57.3064,88.1667,52.41,2.3
45,Kruisfontein,12,ZA,1629846312,81,-34.0033,24.7314,51.49,5.97
46,Abnūb,0,EG,1629846643,27,27.2696,31.1511,84.56,3.65
47,Zhuhai,20,CN,1629846453,89,22.2769,113.5678,85.05,5.75
48,George Town,20,MY,1629846090,93,5.4112,100.3354,74.89,0.0
49,Tanabe,75,JP,1629846453,85,33.7333,135.3667,82.92,1.99
50,Udachny,100,RU,1629846225,87,66.4167,112.4,54.23,19.35
51,Bredasdorp,32,ZA,1629846282,90,-34.5322,20.0403,49.28,5.46
52,Husavik,38,IS,1629846644,85,66.0449,-17.3389,63.66,5.12
53,Svirsk,89,RU,1629846454,81,53.0858,103.3325,51.76,5.7
54,Snyder,1,US,1629846454,32,32.7179,-100.9176,97.14,12.66
55,Mataura,80,NZ,1629846276,62,-46.1927,168.8643,49.48,9.98
56,Port Elizabeth,5,ZA,1629846325,83,-33.918,25.5701,55.74,7.38
57,Ust'-Tarka,3,RU,1629846455,82,55.5672,75.705,66.07,4.27
